QUERY_ID	COG_ID	CDD_ID	EVALUE	IDENTITY	GENE_NAME	COG_NAME	COG_LETTER	COG_DESCRIPTION
KKOIIGHA_00020	COG0687	440451	4.1e-54	20.352	PotD	Spermidine/putrescine-binding periplasmic protein	E	Amino acid transport and metabolism
KKOIIGHA_00021	COG0788	440551	0.0	56.738	PurU	Formyltetrahydrofolate hydrolase	F	Nucleotide transport and metabolism
KKOIIGHA_00022	COG4583	443640	4.38e-65	49.419	SoxG	Sarcosine oxidase gamma subunit	E	Amino acid transport and metabolism
KKOIIGHA_00023	COG0404	440173	7.17e-161	41.96	GcvT	Glycine cleavage system protein T (aminomethyltransferase)	E	Amino acid transport and metabolism
KKOIIGHA_00024	COG4311	443452	1.89e-46	55.319	SoxD	Sarcosine oxidase delta subunit	E	Amino acid transport and metabolism
KKOIIGHA_00025	COG0665	440429	1.55e-77	28.232	DadA	Glycine/D-amino acid oxidase (deaminating)	E	Amino acid transport and metabolism
KKOIIGHA_00026	COG0112	439882	0.0	66.346	GlyA	Glycine/serine hydroxymethyltransferase	E	Amino acid transport and metabolism
KKOIIGHA_00027	COG4977	444002	1.24e-104	39.875	GlxA	Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain	K	Transcription
KKOIIGHA_00028	COG0583	440348	2.17e-38	28.767	LysR	DNA-binding transcriptional regulator, LysR family	K	Transcription
KKOIIGHA_00029	COG1402	441012	4.5e-70	36.585	ArfB	Creatinine amidohydrolase/FAPy deformylase (formamide hydrolase)	H	Coenzyme transport and metabolism
KKOIIGHA_00030	COG1457	441066	5.33e-57	27.273	CodB	Purine-cytosine permease or related protein	F	Nucleotide transport and metabolism
KKOIIGHA_00031	COG0006	439777	1.61e-75	28.846	PepP	Xaa-Pro aminopeptidase	E	Amino acid transport and metabolism
KKOIIGHA_00033	COG0679	440443	7.06e-53	35.738	YfdV	Predicted permease, AEC (auxin efflux carrier) family	R	General function prediction only
KKOIIGHA_00035	COG2303	441878	2.23e-30	21.296	BetA	Choline dehydrogenase or related flavoprotein	I	Lipid transport and metabolism
KKOIIGHA_00036	COG0613	440378	3.91e-18	24.868	YciV	5'-3' exoribonuclease/diribonuclease TrpH/YciV (RNase AM), contains PHP domain	A	RNA processing and modification
KKOIIGHA_00037	COG1280	440891	3.04e-47	40.291	RhtB	Threonine/homoserine/homoserine lactone efflux protein	E	Amino acid transport and metabolism
KKOIIGHA_00038	COG0254	440024	2.47e-39	56.944	RpmE	Ribosomal protein L31	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00039	COG1198	440811	0.0	50.474	PriA	Primosomal protein N' (replication factor Y) - superfamily II helicase	L	Replication, recombination and repair
KKOIIGHA_00040	COG0018	439789	0.0	47.595	ArgS	Arginyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00041	COG3087	442321	5.17e-17	25.882	FtsN	Cell division protein FtsN	D	Cell cycle control, cell division, chromosome partitioning
KKOIIGHA_00042	COG5405	444164	3.06e-121	71.512	HslV	ATP-dependent protease HslVU (ClpYQ), peptidase subunit	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00043	COG1220	440833	0.0	65.934	HslU	ATP-dependent protease HslVU (ClpYQ), ATPase subunit HslU	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00044	COG3536	442757	6.4e-75	56.911	GBBH	Putative dioxygenase with GBBH-like_N/DUF971 domain	R	General function prediction only
KKOIIGHA_00045	COG2226	441828	1.82e-43	37.888	UbiE	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG or 23S rRNA G745 methylase RmlAII or tRNA-U5 methylase TRM9	H	Coenzyme transport and metabolism
KKOIIGHA_00046	COG3165	442398	2.84e-52	43.902	UbiJ	Ubiquinone biosynthesis protein UbiJ, contains SCP2 domain	H	Coenzyme transport and metabolism
KKOIIGHA_00047	COG0661	440425	0.0	52.165	AarF	Predicted protein kinase regulating ubiquinone biosynthesis, AarF/ABC1/UbiB family	H	Coenzyme transport and metabolism
KKOIIGHA_00048	COG0140	439910	4.57e-52	50.459	HisI2	Phosphoribosyl-ATP pyrophosphohydrolase	E	Amino acid transport and metabolism
KKOIIGHA_00049	COG1826	441431	1.19e-07	31.707	TatA	Twin-arginine protein secretion pathway components TatA, TatB, TatE	U	Intracellular trafficking, secretion, and vesicular transport
KKOIIGHA_00050	COG1826	441431	2.68e-09	29.787	TatA	Twin-arginine protein secretion pathway components TatA, TatB, TatE	U	Intracellular trafficking, secretion, and vesicular transport
KKOIIGHA_00051	COG0805	440568	1.73e-107	50.622	TatC	Twin-arginine protein secretion pathway component TatC	U	Intracellular trafficking, secretion, and vesicular transport
KKOIIGHA_00052	COG0113	439883	0.0	65.846	HemB	Delta-aminolevulinic acid dehydratase, porphobilinogen synthase	H	Coenzyme transport and metabolism
KKOIIGHA_00053	COG0855	440616	0.0	55.328	Ppk	Polyphosphate kinase	P	Inorganic ion transport and metabolism
KKOIIGHA_00054	COG1622	441229	1.7e-72	39.149	CyoA	Heme/copper-type cytochrome/quinol oxidase, subunit 2	C	Energy production and conversion
KKOIIGHA_00055	COG0843	440605	0.0	51.206	CyoB	Heme/copper-type cytochrome/quinol oxidase, subunit 1	C	Energy production and conversion
KKOIIGHA_00056	COG1845	441450	7.38e-41	36.508	CyoC	Heme/copper-type cytochrome/quinol oxidase, subunit 3	C	Energy production and conversion
KKOIIGHA_00057	COG3125	442359	1.94e-38	38.053	CyoD	Heme/copper-type cytochrome/quinol oxidase, subunit 4	C	Energy production and conversion
KKOIIGHA_00058	COG0722	440486	0.0	60.947	AroG1	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase	E	Amino acid transport and metabolism
KKOIIGHA_00060	COG0543	440309	5.91e-54	34.348	Mcr1	NAD(P)H-flavin reductase	H	Coenzyme transport and metabolism
KKOIIGHA_00061	COG0043	439813	0.0	57.32	UbiD	3-polyprenyl-4-hydroxybenzoate decarboxylase	H	Coenzyme transport and metabolism
KKOIIGHA_00062	COG1158	440772	0.0	70.213	Rho	Transcription termination factor Rho	K	Transcription
KKOIIGHA_00063	COG3118	442352	2.52e-28	40.187	CnoX	Chaperedoxin CnoX, contains thioredoxin-like and TPR-like domains, YbbN/TrxSC family	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00064	COG0248	440018	6.88e-116	42.357	GppA	Exopolyphosphatase/pppGpp-phosphohydrolase	F	Nucleotide transport and metabolism
KKOIIGHA_00065	COG0037	439807	4.63e-47	36.975	TtcA	tRNA-C32 2-thiocytidine or tRNA(Ile)-C34 C2-lysylcytidine synthase TtcA/TilS/MesJ	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00066	COG0825	440587	0.0	65.705	AccA	Acetyl-CoA carboxylase alpha subunit	I	Lipid transport and metabolism
KKOIIGHA_00067	COG0587	440352	0.0	53.432	DnaE	DNA polymerase III, alpha subunit	L	Replication, recombination and repair
KKOIIGHA_00068	COG0164	439934	4.59e-100	61.053	RnhB	Ribonuclease HII	L	Replication, recombination and repair
KKOIIGHA_00069	COG0763	440526	0.0	56.25	LpxB	Lipid A disaccharide synthetase	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00070	COG1043	440665	1.44e-169	62.891	LpxA	Acyl-[acyl carrier protein]--UDP-N-acetylglucosamine O-acyltransferase	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00071	COG0764	440527	8.27e-80	56.738	FabA	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase	I	Lipid transport and metabolism
KKOIIGHA_00072	COG1044	440666	2.03e-170	55.389	LpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00073	COG2825	442073	5.01e-27	36.62	Skp	Periplasmic chaperone for outer membrane proteins, Skp/HlpA/OmpH family	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00074	COG4775	443807	0.0	42.838	BamA	Outer membrane protein assembly factor BamA	M	Cell wall/membrane/envelope biogenesis
KKOIIGHA_00075	COG0750	440513	2.69e-155	41.63	RseP	Membrane-associated protease RseP, regulator of RpoE activity	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00076	COG0743	440506	0.0	63.939	Dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	I	Lipid transport and metabolism
KKOIIGHA_00077	COG0575	440340	3.23e-54	40.684	CdsA	CDP-diglyceride synthetase	I	Lipid transport and metabolism
KKOIIGHA_00078	COG0020	439791	4.23e-144	53.942	UppS	Undecaprenyl pyrophosphate synthase	I	Lipid transport and metabolism
KKOIIGHA_00079	COG0233	440003	5.28e-117	57.297	Frr	Ribosome recycling factor	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00080	COG0528	440294	1.84e-155	64.255	PyrH	Uridylate kinase	F	Nucleotide transport and metabolism
KKOIIGHA_00081	COG0264	440034	4.42e-148	57.679	Tsf	Translation elongation factor EF-Ts	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00082	COG0052	439822	5.67e-164	63.115	RpsB	Ribosomal protein S2	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00083	COG0024	439795	3.26e-152	55.336	Map	Methionine aminopeptidase	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00084	COG2844	442092	0.0	51.505	GlnD	UTP:GlnB (protein PII) uridylyltransferase	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00085	COG0436	440205	7.34e-100	32.754	AspB	Aspartate/methionine/tyrosine aminotransferase	E	Amino acid transport and metabolism
KKOIIGHA_00086	COG1393	441003	6.03e-42	36.207	ArsC	Arsenate reductase or related protein, glutaredoxin family	P	Inorganic ion transport and metabolism
KKOIIGHA_00087	COG2171	441774	3.43e-61	27.2	DapD	Tetrahydrodipicolinate N-succinyltransferase	E	Amino acid transport and metabolism
KKOIIGHA_00088	COG0624	440389	3.85e-119	37.958	ArgE	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase	E	Amino acid transport and metabolism
KKOIIGHA_00090	COG0053	439823	8.41e-72	29.553	FieF	Divalent metal cation (Fe/Co/Zn/Cd) efflux pump	P	Inorganic ion transport and metabolism
KKOIIGHA_00091	COG1278	440889	1.13e-30	53.731	CspC	Cold shock protein, CspA family	K	Transcription
KKOIIGHA_00092	COG2900	442145	4.15e-15	36.62	SlyX	Uncharacterized coiled-coil protein SlyX (sensitive to lysis X)	S	Function unknown
KKOIIGHA_00093	COG0492	440258	7.39e-160	52.244	TrxB	Thioredoxin reductase	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00094	COG0450	440219	4.59e-111	47.98	AhpC	Alkyl hydroperoxide reductase subunit AhpC (peroxiredoxin)	V	Defense mechanisms
KKOIIGHA_00097	COG1048	440669	0.0	66.667	AcnA	Aconitase A	C	Energy production and conversion
KKOIIGHA_00098	COG0281	440050	3.58e-160	31.717	SfcA	Malic enzyme	C	Energy production and conversion
KKOIIGHA_00099	COG0659	440424	7.37e-06	26.792	SUL1	Sulfate permease or related transporter, MFS superfamily, contains STAS domain	P	Inorganic ion transport and metabolism
KKOIIGHA_00101	COG0180	439950	6.13e-171	42.941	TrpS	Tryptophanyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00102	COG0686	440450	0.0	65.591	Ald	Alanine dehydrogenase (includes sporulation protein SpoVN)	E	Amino acid transport and metabolism
KKOIIGHA_00103	COG0824	440586	5.2e-40	37.226	FadM	Acyl-CoA thioesterase FadM	I	Lipid transport and metabolism
KKOIIGHA_00104	COG1092	440709	0.0	47.342	RlmK	23S rRNA G2069 N7-methylase RlmK or C1962 C5-methylase RlmI	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00105	COG0266	440036	8.13e-138	57.934	Nei	Formamidopyrimidine-DNA glycosylase	L	Replication, recombination and repair
KKOIIGHA_00106	COG0267	440037	4.65e-22	57.143	RpmG	Ribosomal protein L33	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00107	COG0227	439997	4.06e-30	57.971	RpmB	Ribosomal protein L28	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00108	COG2003	441606	4.93e-123	56.25	RadC	DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif	L	Replication, recombination and repair
KKOIIGHA_00109	COG0246	440016	0.0	52.553	MtlD	Mannitol-1-phosphate/altronate dehydrogenases	G	Carbohydrate transport and metabolism
KKOIIGHA_00110	COG0452	440221	0.0	59.242	CoaBC	Phosphopantothenoylcysteine synthetase/decarboxylase CoaBC	H	Coenzyme transport and metabolism
KKOIIGHA_00111	COG0756	440519	1.28e-82	52.055	Dut	dUTP pyrophosphatase (dUTPase)	F	Nucleotide transport and metabolism
KKOIIGHA_00112	COG1109	440726	0.0	41.394	ManB	Phosphomannomutase	G	Carbohydrate transport and metabolism
KKOIIGHA_00113	COG0548	440314	1.26e-163	56.207	ArgB	N-acetylglutamate kinase	E	Amino acid transport and metabolism
KKOIIGHA_00114	COG1309	440920	4.51e-18	28.671	AcrR	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	K	Transcription
KKOIIGHA_00115	COG0568	440334	5.81e-110	37.681	RpoD	DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32)	K	Transcription
KKOIIGHA_00116	COG2177	441780	5e-79	39.179	FtsX	Cell division protein FtsX	D	Cell cycle control, cell division, chromosome partitioning
KKOIIGHA_00117	COG2884	442130	7.14e-133	60.811	FtsE	Cell division ATPase FtsE	D	Cell cycle control, cell division, chromosome partitioning
KKOIIGHA_00118	COG0552	440318	0.0	64.262	FtsY	Signal recognition particle GTPase FtsY	U	Intracellular trafficking, secretion, and vesicular transport
KKOIIGHA_00119	COG0742	440505	1.26e-83	45.902	RsmD	16S rRNA G966 N2-methylase RsmD	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00120	COG3074	442308	0.000104	35.443	ZapB	Cell division protein ZapB, interacts with FtsZ	D	Cell cycle control, cell division, chromosome partitioning
KKOIIGHA_00121	COG0456	440224	4.49e-14	47.059	RimI	Ribosomal protein S18 acetylase RimI and related acetyltransferases	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00122	COG3456	442679	0.001	21.429	Fha1	Type VI secretion system component, contains N-terminal FHA domain	U	Intracellular trafficking, secretion, and vesicular transport
KKOIIGHA_00123	COG0271	440041	1.2e-43	54.444	BolA	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation	K	Transcription
KKOIIGHA_00124	COG2814	442063	1.35e-32	27.25	AraJ	Predicted arabinose efflux permease AraJ, MFS family	G	Carbohydrate transport and metabolism
KKOIIGHA_00126	COG1190	440803	0.0	56.805	LysU	Lysyl-tRNA synthetase, class II	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00127	COG0216	439986	2.18e-96	48.12	PrfA	Protein chain release factor RF1	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00128	COG2067	441670	6.8e-130	38.308	FadL	Long-chain fatty acid transport protein	I	Lipid transport and metabolism
KKOIIGHA_00129	COG0789	440552	1.21e-30	42.718	SoxR	DNA-binding transcriptional regulator, MerR family	K	Transcription
KKOIIGHA_00130	COG2217	441819	0.0	51.15	ZntA	Cation-transporting P-type ATPase	P	Inorganic ion transport and metabolism
KKOIIGHA_00131	COG0608	440373	1.01e-180	40.283	RecJ	ssDNA-specific exonuclease RecJ, DHH superfamily, may be involved in archaeal DNA replication intiation	L	Replication, recombination and repair
KKOIIGHA_00132	COG0498	440264	3.77e-109	30.962	ThrC	Threonine synthase	E	Amino acid transport and metabolism
KKOIIGHA_00133	COG0460	440228	7.29e-164	56.333	ThrA	Homoserine dehydrogenase	E	Amino acid transport and metabolism
KKOIIGHA_00134	COG1651	441257	3.18e-21	26.49	DsbG	Protein thiol-disulfide isomerase DsbC	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00135	COG4974	443999	8.8e-107	45.734	XerD	Site-specific tyrosine recombinase XerD	L	Replication, recombination and repair
KKOIIGHA_00136	COG0335	440104	2.84e-65	64.602	RplS	Ribosomal protein L19	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00137	COG0336	440105	6.98e-161	60.163	TrmD	tRNA G37 N-methylase TrmD	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00138	COG0806	440569	7.02e-64	44.118	RimM	Ribosomal 30S subunit maturation factor RimM, required for 16S rRNA processing	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00139	COG0228	439998	1.23e-41	58.974	RpsP	Ribosomal protein S16	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00140	COG0541	440307	0.0	63.507	Srp	Signal recognition particle GTPase Srp/Ffh	U	Intracellular trafficking, secretion, and vesicular transport
KKOIIGHA_00141	COG4137	443312	1.81e-68	46.442	YpjD	ABC-type uncharacterized transport system, permease component	R	General function prediction only
KKOIIGHA_00142	COG4536	443602	0.0	60.199	CorB	Mg2+ and Co2+ transporter CorB, contains DUF21, CBS pair, and CorC-HlyC domains	P	Inorganic ion transport and metabolism
KKOIIGHA_00143	COG0204	439974	2.23e-46	31.776	PlsC	1-acyl-sn-glycerol-3-phosphate acyltransferase	I	Lipid transport and metabolism
KKOIIGHA_00144	COG1309	440920	1.04e-14	27.097	AcrR	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	K	Transcription
KKOIIGHA_00145	COG2135	441738	1.6e-62	37.879	SRAP	ssDNA abasic site-binding protein YedK/HMCES, SRAP family	L	Replication, recombination and repair
KKOIIGHA_00146	COG1025	440648	0.0	42.796	Ptr	Secreted/periplasmic Zn-dependent peptidases, insulinase-like	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00147	COG2925	442169	0.0	57.938	SbcB	Exonuclease I (degrades ssDNA)	L	Replication, recombination and repair
KKOIIGHA_00148	COG0851	440612	1.56e-28	53.659	MinE	Septum formation topological specificity factor MinE	D	Cell cycle control, cell division, chromosome partitioning
KKOIIGHA_00149	COG2894	442139	1.75e-177	60.526	MinD	Septum site-determining ATPase MinD	D	Cell cycle control, cell division, chromosome partitioning
KKOIIGHA_00150	COG0850	440611	4.9e-85	39.669	MinC	Septum site-determining protein MinC	D	Cell cycle control, cell division, chromosome partitioning
KKOIIGHA_00151	COG1196	440809	1.76e-09	15.578	Smc	Chromosome segregation ATPase Smc	D	Cell cycle control, cell division, chromosome partitioning
KKOIIGHA_00152	COG1028	440651	2.89e-92	40.87	FabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	I	Lipid transport and metabolism
KKOIIGHA_00155	COG0415	440184	1.46e-119	33.406	PhrB	Deoxyribodipyrimidine photolyase	L	Replication, recombination and repair
KKOIIGHA_00157	COG1009	440633	2.05e-159	42.857	NuoL	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Na+/H+ antiporter, MnhA subunit/Na+:bicarbonate transporter, MpsA subunit	C	Energy production and conversion
KKOIIGHA_00158	COG1006	440630	6.39e-45	53.982	MnhC	Multisubunit Na+/H+ antiporter, MnhC subunit	P	Inorganic ion transport and metabolism
KKOIIGHA_00159	COG0651	440416	2.13e-117	44.622	HyfB	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit	C	Energy production and conversion
KKOIIGHA_00160	COG1863	441468	4.07e-57	47.17	MnhE	Multisubunit Na+/H+ antiporter, MnhE subunit	P	Inorganic ion transport and metabolism
KKOIIGHA_00161	COG2212	441814	1.52e-23	47.619	MnhF	Multisubunit Na+/H+ antiporter, MnhF subunit	P	Inorganic ion transport and metabolism
KKOIIGHA_00162	COG1320	440931	9.84e-33	47.0	MnhG	Multisubunit Na+/H+ antiporter, MnhG subunit	P	Inorganic ion transport and metabolism
KKOIIGHA_00163	COG0276	440045	1.13e-156	53.659	HemH	Protoheme ferro-lyase (ferrochelatase)	H	Coenzyme transport and metabolism
KKOIIGHA_00164	COG3011	442248	7.87e-28	37.288	YuxK	Predicted thiol-disulfide oxidoreductase YuxK, DCC family	R	General function prediction only
KKOIIGHA_00166	COG2200	441802	7.72e-61	38.983	EAL	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant)	T	Signal transduction mechanisms
KKOIIGHA_00168	COG0305	440074	0.0	57.275	DnaB	Replicative DNA helicase	L	Replication, recombination and repair
KKOIIGHA_00169	COG0359	440128	9.71e-72	50.676	RplI	Ribosomal protein L9	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00171	COG0238	440008	4.91e-36	62.903	RpsR	Ribosomal protein S18	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00172	COG0360	440129	1.53e-54	50.943	RpsF	Ribosomal protein S6	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00173	COG0566	440332	2.84e-108	51.029	SpoU	tRNA G18 (ribose-2'-O)-methylase SpoU	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00174	COG0557	440323	0.0	53.635	VacB	Exoribonuclease R	K	Transcription
KKOIIGHA_00175	COG1864	441469	3.89e-82	39.916	NUC1	DNA/RNA endonuclease G, NUC1	F	Nucleotide transport and metabolism
KKOIIGHA_00176	COG1522	441131	9.92e-16	35.714	Lrp	DNA-binding transcriptional regulator, Lrp family	K	Transcription
KKOIIGHA_00177	COG0350	440119	2.54e-55	40.741	AdaB	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)	L	Replication, recombination and repair
KKOIIGHA_00179	COG2719	442032	0.0	65.261	SpoVR	Stage V sporulation protein SpoVR/YcgB, involved in spore cortex formation (function unknown)	D	Cell cycle control, cell division, chromosome partitioning
KKOIIGHA_00180	COG2718	442031	0.0	52.817	YeaH	Uncharacterized conserved protein YeaH/YhbH, required for sporulation, DUF444 family	R	General function prediction only
KKOIIGHA_00181	COG2766	442049	0.0	46.454	PrkA	Predicted Ser/Thr protein kinase	T	Signal transduction mechanisms
KKOIIGHA_00182	COG2008	441611	2.95e-146	43.452	GLY1	Threonine aldolase	E	Amino acid transport and metabolism
KKOIIGHA_00183	COG1902	441506	4.32e-154	43.36	FadH	NADH:flavin reductase, Old Yellow Enzyme (OYE) family	C	Energy production and conversion
KKOIIGHA_00190	COG3571	442792	9.29e-76	51.485		Predicted hydrolase of the alpha/beta-hydrolase fold	R	General function prediction only
KKOIIGHA_00191	COG3278	442509	0.0	70.975	CcoN	Cbb3-type cytochrome oxidase, subunit 1	C	Energy production and conversion
KKOIIGHA_00192	COG2993	442232	4.1e-157	64.815	CcoO	Cbb3-type cytochrome oxidase, cytochrome c subunit FixO	C	Energy production and conversion
KKOIIGHA_00193	COG4736	443770	1.63e-16	46.0	CcoQ	Cbb3-type cytochrome oxidase, subunit 3	C	Energy production and conversion
KKOIIGHA_00194	COG2010	441613	5.86e-21	30.526	CccA	Cytochrome c, mono- and diheme variants	C	Energy production and conversion
KKOIIGHA_00195	COG0348	440117	3.58e-91	41.216	NapH	Polyferredoxin NapH	C	Energy production and conversion
KKOIIGHA_00196	COG3198	442431	1.06e-65	46.108	CcoH	Putative cytochrome oxidase assembly factor, CcoH/FixH family	C	Energy production and conversion
KKOIIGHA_00197	COG2217	441819	0.0	42.798	ZntA	Cation-transporting P-type ATPase	P	Inorganic ion transport and metabolism
KKOIIGHA_00198	COG3197	442430	2.26e-17	59.524	FixS	Cytochrome oxidase maturation protein, CcoS/FixS family	O	Posttranslational modification, protein turnover, chaperones
KKOIIGHA_00199	COG2836	442084	1.39e-50	53.0	DsbD	Uncharacterized membrane protein, DsbD domain	S	Function unknown
KKOIIGHA_00200	COG0635	440400	1.84e-162	39.243	HemN	Coproporphyrinogen-III oxidase HemN  (oxygen-independent) or related Fe-S oxidoreductase	H	Coenzyme transport and metabolism
KKOIIGHA_00201	COG0664	440428	4.22e-51	33.019	Crp	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases	T	Signal transduction mechanisms
KKOIIGHA_00202	COG0037	439807	4.77e-83	32.218	TtcA	tRNA-C32 2-thiocytidine or tRNA(Ile)-C34 C2-lysylcytidine synthase TtcA/TilS/MesJ	J	Translation, ribosomal structure and biogenesis
KKOIIGHA_00204	COG2176	441779	1.07e-34	28.655	PolC	DNA polymerase III, alpha subunit (gram-positive type)	L	Replication, recombination and repair
KKOIIGHA_00205	COG2905	442149	1.25e-17	34.426		Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains	T	Signal transduction mechanisms
KKOIIGHA_00206	COG4327	443468	1.72e-36	54.651		Uncharacterized membrane protein, DUF4212 domain	S	Function unknown
KKOIIGHA_00207	COG4147	443318	0.0	42.327	ActP	Na+(or H+)/acetate symporter ActP	C	Energy production and conversion
KKOIIGHA_00209	COG0642	440407	2.29e-60	31.353	BaeS	Signal transduction histidine kinase	T	Signal transduction mechanisms
KKOIIGHA_00210	COG1914	441518	1.11e-116	43.932	MntH	Mn2+ or Fe2+ transporter, NRAMP family	P	Inorganic ion transport and metabolism
KKOIIGHA_00211	COG4566	443623	1.51e-29	29.524	FixJ	DNA-binding response regulator, FixJ family, consists of REC and HTH domains	T	Signal transduction mechanisms
