"","locus_tag","ftype","length_bp","gene","EC_number","COG","product","KO_ID"
"25","KKOIIGHA_00042","CDS",522,"hslV","3.4.25.2","COG5405","ATP-dependent protease subunit HslV","K01419"
"26","KKOIIGHA_00043","CDS",1326,"hslU","","COG1220","ATP-dependent protease ATPase subunit HslU","K03667"
"27","KKOIIGHA_00045","CDS",747,"ubiE_1","2.1.1.163","COG2226","Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE","K03183"
"28","KKOIIGHA_00047","CDS",1623,"ubiB","2.7.-.-","COG0661","putative protein kinase UbiB","K03688"
"29","KKOIIGHA_00048","CDS",339,"hisE","3.6.1.31","COG0140","Phosphoribosyl-ATP pyrophosphatase","K01523"
"30","KKOIIGHA_00049","CDS",276,"tatA","","COG1826","Sec-independent protein translocase protein TatA","K03116"
"31","KKOIIGHA_00050","CDS",399,"tatB","","COG1826","Sec-independent protein translocase protein TatB","K03117"
"32","KKOIIGHA_00051","CDS",798,"tatC","","COG0805","Sec-independent protein translocase protein TatC","K03118"
"33","KKOIIGHA_00052","CDS",1008,"hemB","4.2.1.24","","Delta-aminolevulinic acid dehydratase","K01698"
"34","KKOIIGHA_00053","CDS",2205,"ppk","2.7.4.1","","Polyphosphate kinase","K00937"
"35","KKOIIGHA_00054","CDS",969,"","","","hypothetical protein","K02297"
"36","KKOIIGHA_00055","CDS",2112,"cyoB_1","7.1.1.3","COG0843","Cytochrome bo(3) ubiquinol oxidase subunit 1","K02298"
"37","KKOIIGHA_00056","CDS",624,"cyoC_1","","COG1845","Cytochrome bo(3) ubiquinol oxidase subunit 3","K02299"
"38","KKOIIGHA_00058","CDS",1059,"aroF_1","2.5.1.54","COG0722","Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive","K01626"
"39","KKOIIGHA_00060","CDS",831,"tphA1I","1.14.12.15","","Terephthalate 1,2-dioxygenase, reductase component 1","K00523"
"40","KKOIIGHA_00061","CDS",1485,"ubiD","4.1.1.98","COG0043","3-octaprenyl-4-hydroxybenzoate carboxy-lyase","K03182"
"41","KKOIIGHA_00062","CDS",1260,"rho","3.6.4.-","COG1158","Transcription termination factor Rho","K03628"
"42","KKOIIGHA_00063","CDS",333,"trxA_1","","COG3118","Thioredoxin 1","K03671"
"43","KKOIIGHA_00064","CDS",1524,"ppx","3.6.1.11","COG0248","Exopolyphosphatase","K01524"
"44","KKOIIGHA_00065","CDS",1299,"tilS","6.3.4.19","COG0037","tRNA(Ile)-lysidine synthase","K04075"
"45","KKOIIGHA_00066","CDS",954,"accA","2.1.3.15","","Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha","K01962"
"46","KKOIIGHA_00067","CDS",3504,"dnaE","2.7.7.7","COG0587","DNA polymerase III subunit alpha","K02337"
"47","KKOIIGHA_00068","CDS",642,"rnhB","3.1.26.4","COG0164","Ribonuclease HII","K03470"
"48","KKOIIGHA_00069","CDS",1182,"lpxB","2.4.1.182","COG0763","Lipid-A-disaccharide synthase","K00748"
"49","KKOIIGHA_00070","CDS",771,"lpxA","2.3.1.129","","Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase","K00677"
"50","KKOIIGHA_00071","CDS",444,"fabZ","4.2.1.59","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","K02372"
"51","KKOIIGHA_00072","CDS",1077,"lpxD","2.3.1.191","","UDP-3-O-acylglucosamine N-acyltransferase","K02536"
"52","KKOIIGHA_00074","CDS",2334,"bamA","","COG4775","Outer membrane protein assembly factor BamA","K07277"
"53","KKOIIGHA_00075","CDS",1356,"","3.4.24.-","","Putative zinc metalloprotease","K11749"
"54","KKOIIGHA_00076","CDS",1206,"dxr","1.1.1.267","","1-deoxy-D-xylulose 5-phosphate reductoisomerase","K00099"
"55","KKOIIGHA_00077","CDS",798,"cdsA","2.7.7.41","COG0575","Phosphatidate cytidylyltransferase","K00981"
"56","KKOIIGHA_00078","CDS",744,"uppS","2.5.1.31","COG0020","Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)","K00806"
"57","KKOIIGHA_00079","CDS",558,"frr","","COG0233","Ribosome-recycling factor","K02838"
"58","KKOIIGHA_00080","CDS",762,"pyrH","2.7.4.22","","Uridylate kinase","K09903"
"59","KKOIIGHA_00081","CDS",870,"tsf","","COG0264","Elongation factor Ts","K02357"
"60","KKOIIGHA_00082","CDS",732,"rpsB","","","Small ribosomal subunit protein uS2","K02967"
"61","KKOIIGHA_00083","CDS",792,"map","3.4.11.18","COG0024","Methionine aminopeptidase","K01265"
"62","KKOIIGHA_00084","CDS",2676,"glnD","","","Bifunctional uridylyltransferase/uridylyl-removing enzyme","K00990"
"63","KKOIIGHA_00085","CDS",1200,"dapL","2.6.1.83","COG0436","LL-diaminopimelate aminotransferase","K14267"
"64","KKOIIGHA_00087","CDS",1026,"dapD","2.3.1.117","","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase","K00674"
"65","KKOIIGHA_00088","CDS",1158,"dapE","3.5.1.18","","Succinyl-diaminopimelate desuccinylase","K01439"
"66","KKOIIGHA_00091","CDS",465,"","","","hypothetical protein","K03704"
"67","KKOIIGHA_00093","CDS",954,"","4.3.1.9","COG0492","Glucosaminate ammonia-lyase","K00384"
"68","KKOIIGHA_00094","CDS",603,"ahpC","1.11.1.26","COG0450","Alkyl hydroperoxide reductase C","K03386"
"69","KKOIIGHA_00097","CDS",2754,"acnA","4.2.1.3","","Aconitate hydratase A","K27802"
"70","KKOIIGHA_00098","CDS",1680,"maeA","1.1.1.38","COG0281","NAD-dependent malic enzyme","K00027"
"71","KKOIIGHA_00100","CDS",1185,"","","","hypothetical protein","K07112"
"72","KKOIIGHA_00101","CDS",1026,"trpS","6.1.1.2","COG0180","Tryptophan--tRNA ligase","K01867"
"73","KKOIIGHA_00102","CDS",1119,"ald","1.4.1.1","COG0686","Alanine dehydrogenase","K00259"
"74","KKOIIGHA_00103","CDS",441,"","","","hypothetical protein","K07107"
"75","KKOIIGHA_00104","CDS",1191,"rlmI","2.1.1.191","COG1092","Ribosomal RNA large subunit methyltransferase I","K06969"
"76","KKOIIGHA_00105","CDS",816,"mutM","3.2.2.23","COG0266","Formamidopyrimidine-DNA glycosylase","K10563"
"77","KKOIIGHA_00106","CDS",156,"rpmG","","","Large ribosomal subunit protein bL33","K02913"
"78","KKOIIGHA_00107","CDS",237,"rpmB","","","Large ribosomal subunit protein bL28","K02902"
"79","KKOIIGHA_00108","CDS",675,"","","","hypothetical protein","K03630"
"80","KKOIIGHA_00109","CDS",1446,"por_1","1.1.1.-","COG0246","Polyol:NADP oxidoreductase","K00040"
"81","KKOIIGHA_00110","CDS",1329,"coaBC","","COG0452","Coenzyme A biosynthesis bifunctional protein CoaBC","K13038"
"82","KKOIIGHA_00111","CDS",489,"dut","3.6.1.23","COG0756","Deoxyuridine 5'-triphosphate nucleotidohydrolase","K01520"
"83","KKOIIGHA_00112","CDS",1383,"algC","5.4.2.2","","Phosphomannomutase/phosphoglucomutase","K15778"
"84","KKOIIGHA_00113","CDS",963,"argB","2.7.2.8","","Acetylglutamate kinase","K00930"
"85","KKOIIGHA_00114","CDS",618,"slmA","","COG1309","Nucleoid occlusion factor SlmA","K05501"
"86","KKOIIGHA_00115","CDS",867,"rpoH","","COG0568","RNA polymerase sigma factor RpoH","K03089"
"87","KKOIIGHA_00116","CDS",987,"ftsX","","COG2177","Cell division protein FtsX","K09811"
"88","KKOIIGHA_00117","CDS",684,"ftsE","","COG2884","Cell division ATP-binding protein FtsE","K09812"
"89","KKOIIGHA_00118","CDS",1500,"ftsY_1","3.6.5.4","","Signal recognition particle receptor FtsY","K03110"
"90","KKOIIGHA_00119","CDS",630,"rsmD","2.1.1.171","COG0742","Ribosomal RNA small subunit methyltransferase D","K08316"
"91","KKOIIGHA_00121","CDS",459,"rimI_1","2.3.1.266","COG0456","[Ribosomal protein bS18]-alanine N-acetyltransferase","K03789"
"92","KKOIIGHA_00123","CDS",312,"bolA","","COG0271","DNA-binding transcriptional regulator BolA","K05527"
"93","KKOIIGHA_00124","CDS",1401,"ribZ","","COG2814","Riboflavin transporter RibZ","K08169"
"94","KKOIIGHA_00126","CDS",1551,"lysU","6.1.1.6","COG1190","Lysine--tRNA ligase, heat inducible","K04567"
"95","KKOIIGHA_00127","CDS",834,"prfB","","COG1186","Peptide chain release factor RF2","K02836"
"96","KKOIIGHA_00128","CDS",1272,"","","","47 kDa outer membrane protein","K06076"
"97","KKOIIGHA_00130","CDS",2991,"copA_1","7.2.2.8","","Copper-exporting P-type ATPase","K17686"
"98","KKOIIGHA_00131","CDS",1926,"recJ","3.1.-.-","COG0608","Single-stranded-DNA-specific exonuclease RecJ","K07462"
"99","KKOIIGHA_00132","CDS",1389,"thrC","4.2.3.1","COG0498","Threonine synthase","K01733"
"100","KKOIIGHA_00133","CDS",1317,"","1.1.1.3","","Homoserine dehydrogenase","K00003"
"101","KKOIIGHA_00134","CDS",744,"","","","hypothetical protein","K03981"
"102","KKOIIGHA_00135","CDS",906,"xerD","","","Tyrosine recombinase XerD","K04763"
"103","KKOIIGHA_00136","CDS",357,"rplS","","","Large ribosomal subunit protein bL19","K02884"
"104","KKOIIGHA_00137","CDS",801,"trmD","2.1.1.228","","tRNA (guanine-N(1)-)-methyltransferase","K00554"
"105","KKOIIGHA_00138","CDS",549,"rimM","","","Ribosome maturation factor RimM","K02860"
"106","KKOIIGHA_00139","CDS",264,"rpsP","","","Small ribosomal subunit protein bS16","K02959"
"107","KKOIIGHA_00140","CDS",1422,"ffh","3.6.5.4","COG0541","Signal recognition particle protein","K03106"
"108","KKOIIGHA_00142","CDS",1284,"","","","hypothetical protein","K03699"
"109","KKOIIGHA_00146","CDS",2838,"ptrA","3.4.24.55","COG1025","Protease 3","K01407"
"110","KKOIIGHA_00147","CDS",1491,"sbcB","3.1.11.1","COG2925","Exodeoxyribonuclease I","K01141"
"111","KKOIIGHA_00148","CDS",249,"minE","","","Cell division topological specificity factor","K03608"
"112","KKOIIGHA_00149","CDS",819,"minD","","COG2894","Septum site-determining protein MinD","K03609"
"113","KKOIIGHA_00150","CDS",756,"minC","","","putative septum site-determining protein MinC","K03610"
"114","KKOIIGHA_00152","CDS",747,"phaB_1","1.1.1.36","COG1028","Acetoacetyl-CoA reductase","K00023"
"115","KKOIIGHA_00155","CDS",1410,"cry","","COG0415","Cryptochrome DASH","K01669"
"116","KKOIIGHA_00157","CDS",2799,"mrpA","","COG1009","Na(+)/H(+) antiporter subunit A","K05559"
"117","KKOIIGHA_00158","CDS",351,"mnhC1","","","Na(+)/H(+) antiporter subunit C1","K05560"
"118","KKOIIGHA_00159","CDS",1539,"mrpD","","COG0651","Na(+)/H(+) antiporter subunit D","K05561"
"119","KKOIIGHA_00160","CDS",498,"mrpE","","COG1863","Na(+)/H(+) antiporter subunit E","K05562"
"120","KKOIIGHA_00161","CDS",270,"mrpF","","COG2212","Na(+)/H(+) antiporter subunit F","K05563"
"121","KKOIIGHA_00162","CDS",384,"mrpG","","COG1320","Na(+)/H(+) antiporter subunit G","K05564"
"122","KKOIIGHA_00163","CDS",990,"hemH","4.98.1.1","COG0276","Ferrochelatase","K01772"
"123","KKOIIGHA_00168","CDS",1389,"dnaB","5.6.2.3","COG0305","Replicative DNA helicase DnaB","K02314"
"124","KKOIIGHA_00169","CDS",447,"rplI","","COG0359","Large ribosomal subunit protein bL9","K02939"
"125","KKOIIGHA_00171","CDS",228,"rpsR","","","Small ribosomal subunit protein bS18","K02963"
"126","KKOIIGHA_00172","CDS",393,"rpsF","","COG0360","Small ribosomal subunit protein bS6","K02990"
"127","KKOIIGHA_00173","CDS",834,"rlmB","2.1.1.185","COG0566","23S rRNA (guanosine-2'-O-)-methyltransferase RlmB","K03218"
"128","KKOIIGHA_00174","CDS",2382,"rnr","3.1.13.1","COG0557","Ribonuclease R","K12573"
"129","KKOIIGHA_00175","CDS",858,"","","","hypothetical protein","K01173"
"130","KKOIIGHA_00177","CDS",468,"ogt_1","2.1.1.63","COG0350","Methylated-DNA--protein-cysteine methyltransferase","K00567"
"131","KKOIIGHA_00179","CDS",1548,"","","","hypothetical protein","K06415"
"132","KKOIIGHA_00180","CDS",1281,"","","","hypothetical protein","K09786"
"133","KKOIIGHA_00181","CDS",1923,"yeaG","2.7.11.1","COG2766","Serine/threonine kinase YeaG","K07180"
"134","KKOIIGHA_00182","CDS",1047,"ltaE","4.1.2.48","","Low specificity L-threonine aldolase","K01620"
"135","KKOIIGHA_00183","CDS",2016,"fadH","1.3.1.34","COG0446","2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing]","K00219"
"136","KKOIIGHA_00190","CDS",693,"","","","hypothetical protein","K07020"
"137","KKOIIGHA_00191","CDS",1425,"ccoN1","7.1.1.9","COG3278","Cbb3-type cytochrome c oxidase subunit CcoN1","K00404"
"138","KKOIIGHA_00192","CDS",609,"","","","hypothetical protein","K00405"
"139","KKOIIGHA_00193","CDS",186,"","","","hypothetical protein","K00407"
"140","KKOIIGHA_00194","CDS",924,"ccoP2","","COG2010","Cbb3-type cytochrome c oxidase subunit CcoP2","K00406"
"141","KKOIIGHA_00196","CDS",510,"","","","hypothetical protein","K09926"
"142","KKOIIGHA_00197","CDS",2445,"copA_2","7.2.2.8","COG2217","Copper-exporting P-type ATPase","K01533"
"143","KKOIIGHA_00199","CDS",720,"","","","hypothetical protein","K09792"
"144","KKOIIGHA_00200","CDS",1401,"hemN","1.3.98.3","","Oxygen-independent coproporphyrinogen III oxidase","K02495"
"145","KKOIIGHA_00201","CDS",744,"anr_1","","COG0664","Transcriptional activator protein Anr","K01420"
"146","KKOIIGHA_00202","CDS",855,"ttcA","2.8.1.-","COG0037","tRNA-cytidine(32) 2-sulfurtransferase","K14058"
"147","KKOIIGHA_00204","CDS",618,"dinG_1","3.1.-.-","","3'-5' exonuclease DinG","K02342"
"148","KKOIIGHA_00205","CDS",1818,"","","","hypothetical protein","K07182"
"149","KKOIIGHA_00207","CDS",1782,"actP","","","Cation/acetate symporter ActP","K14393"
"150","KKOIIGHA_00210","CDS",1281,"mntH","","COG1914","Divalent metal cation transporter MntH","K03322"
"151","KKOIIGHA_00212","CDS",1953,"acsA_1","6.2.1.1","COG0365","Acetyl-coenzyme A synthetase","K01895"
"152","KKOIIGHA_00213","CDS",549,"sprT","","","Protein SprT","K02742"
"153","KKOIIGHA_00215","CDS",1122,"ywiE","2.7.8.-","COG1502","putative cardiolipin synthase YwiE","K06131"
"154","KKOIIGHA_00216","CDS",2511,"plsB","2.3.1.15","COG2937","Glycerol-3-phosphate acyltransferase","K00631"
"155","KKOIIGHA_00217","CDS",762,"rsmJ","2.1.1.242","","Ribosomal RNA small subunit methyltransferase J","K15984"
"156","KKOIIGHA_00218","CDS",816,"uppP","3.6.1.27","COG1968","Undecaprenyl-diphosphatase","K06153"
"157","KKOIIGHA_00219","CDS",699,"tsaB","","","tRNA threonylcarbamoyladenosine biosynthesis protein TsaB","K14742"
"158","KKOIIGHA_00220","CDS",657,"adk","2.7.4.3","COG0563","Adenylate kinase","K00939"
"159","KKOIIGHA_00221","CDS",369,"dgkA","2.7.1.107","COG0818","Diacylglycerol kinase","K00901"
"160","KKOIIGHA_00222","CDS",978,"acuI_1","1.3.1.84","COG0604","putative acrylyl-CoA reductase AcuI","K19745"
"161","KKOIIGHA_00223","CDS",1023,"epd","1.2.1.72","COG0057","D-erythrose-4-phosphate dehydrogenase","K03472"
"162","KKOIIGHA_00224","CDS",1164,"pgk","2.7.2.3","COG0126","Phosphoglycerate kinase","K00927"
"163","KKOIIGHA_00225","CDS",1065,"cbbA","4.1.2.13","","Fructose-bisphosphate aldolase","K01624"
"164","KKOIIGHA_00231","CDS",1212,"ydcO_1","","COG3135","Inner membrane protein YdcO","K05782"
"165","KKOIIGHA_00233","CDS",891,"crgA_1","","","HTH-type transcriptional regulator CrgA","K18900"
"166","KKOIIGHA_00237","CDS",1383,"sad","1.2.1.16","COG1012","Succinate semialdehyde dehydrogenase [NAD(P)+] Sad","K00135"
"167","KKOIIGHA_00238","CDS",942,"arsA","7.3.2.7","","Arsenical pump-driving ATPase","K01551"
"168","KKOIIGHA_00239","CDS",297,"","","","hypothetical protein","K00265"
"169","KKOIIGHA_00240","CDS",1752,"cstA","","COG1966","Peptide transporter CstA","K06200"
"170","KKOIIGHA_00241","CDS",975,"kdgK","2.7.1.45","COG0524","2-dehydro-3-deoxygluconokinase","K00874"
"171","KKOIIGHA_00243","CDS",987,"ghrB","1.1.1.79","COG1052","Glyoxylate/hydroxypyruvate reductase B","K00090"
"172","KKOIIGHA_00246","CDS",375,"yciH","","COG0023","putative protein YciH","K03113"
"173","KKOIIGHA_00250","CDS",1062,"dgcC","2.7.7.65","COG3706","putative diguanylate cyclase DgcC","K18968"
"174","KKOIIGHA_00252","CDS",798,"","","","hypothetical protein","K01169"
"175","KKOIIGHA_00253","CDS",1131,"","","COG0701","Putative permease","K07089"
"176","KKOIIGHA_00254","CDS",1335,"dgt","3.1.5.1","","putative deoxyguanosinetriphosphate triphosphohydrolase","K01129"
"177","KKOIIGHA_00255","CDS",1440,"dacB","3.4.16.4","COG2027","D-alanyl-D-alanine carboxypeptidase DacB","K07259"
"178","KKOIIGHA_00256","CDS",330,"emrE","","COG2076","Multidrug transporter EmrE","K03297"
"179","KKOIIGHA_00260","CDS",1908,"fabY","2.3.1.180","","Beta-ketoacyl-[acyl-carrier-protein] synthase FabY","K18473"
"180","KKOIIGHA_00261","CDS",498,"coaD","2.7.7.3","","Phosphopantetheine adenylyltransferase","K00954"
"181","KKOIIGHA_00263","CDS",1350,"dinF","","COG0534","DNA damage-inducible protein F","K26937"
"182","KKOIIGHA_00264","CDS",1317,"atoE_1","","COG2031","Putative short-chain fatty acid transporter","K02106"
"183","KKOIIGHA_00269","CDS",918,"yehZ","","COG1732","Glycine betaine-binding protein YehZ","K05845"
"184","KKOIIGHA_00270","CDS",1194,"yehY","","COG1174","Glycine betaine uptake system permease protein YehY","K05846"
"185","KKOIIGHA_00271","CDS",1035,"yehX","7.4.2.-","COG1125","Glycine betaine uptake system ATP-binding protein YehX","K05847"
"186","KKOIIGHA_00272","CDS",765,"yehW","","COG1174","Glycine betaine uptake system permease protein YehW","K05846"
"187","KKOIIGHA_00275","CDS",747,"yfcA","","COG0730","putative membrane transporter protein YfcA","K07090"
"188","KKOIIGHA_00277","CDS",1017,"","","","hypothetical protein","K07080"
"189","KKOIIGHA_00279","CDS",1275,"ectB_1","2.6.1.76","COG0160","Diaminobutyrate--2-oxoglutarate transaminase","K00836"
"190","KKOIIGHA_00280","CDS",1461,"davD_1","1.2.1.-","","Glutarate-semialdehyde dehydrogenase","K00135"
"191","KKOIIGHA_00281","CDS",1362,"dctD_1","","COG2204","C4-dicarboxylate transport transcriptional regulatory protein DctD","K10126"
"192","KKOIIGHA_00282","CDS",1791,"dctB","2.7.13.3","COG4191","C4-dicarboxylate transport sensor protein DctB","K10125"
"193","KKOIIGHA_00285","CDS",1137,"garK","2.7.1.165","COG1929","Glycerate 2-kinase","K00865"
"194","KKOIIGHA_00286","CDS",675,"","1.14.11.-","","PKHD-type hydroxylase","K07336"
"195","KKOIIGHA_00288","CDS",474,"","","COG0783","putative protein","K04047"
"196","KKOIIGHA_00289","CDS",564,"yhbO_1","3.1.2.-","COG0693","Protein/nucleic acid deglycase 2","K05520"
"197","KKOIIGHA_00291","CDS",1479,"pepD","3.4.13.18","COG2195","Cytosol non-specific dipeptidase","K01270"
"198","KKOIIGHA_00292","CDS",195,"","","","hypothetical protein","K00424"
"199","KKOIIGHA_00293","CDS",1134,"cydB","7.1.1.7","COG1294","Cytochrome bd-I ubiquinol oxidase subunit 2","K00426"
"200","KKOIIGHA_00294","CDS",1584,"cydA","7.1.1.7","COG1271","Cytochrome bd-I ubiquinol oxidase subunit 1","K00425"
"201","KKOIIGHA_00295","CDS",1794,"cydC_1","7.4.2.-","COG4987","Glutathione/L-cysteine transport system ATP-binding/permease protein CydC","K16012"
"202","KKOIIGHA_00296","CDS",1698,"cydD_1","7.4.2.-","COG4988","Glutathione/L-cysteine transport system ATP-binding/permease protein CydD","K16013"
"203","KKOIIGHA_00297","CDS",2238,"tmcA","2.3.1.193","COG1444","tRNA(Met) cytidine acetyltransferase TmcA","K06957"
"204","KKOIIGHA_00298","CDS",1905,"","","","hypothetical protein","K07093"
"205","KKOIIGHA_00299","CDS",1554,"emrB_1","","","Colistin resistance protein EmrB","K03446"
"206","KKOIIGHA_00300","CDS",1119,"emrA_1","","","Colistin resistance protein EmrA","K03543"
"207","KKOIIGHA_00303","CDS",1356,"dctM_1","","","C4-dicarboxylate TRAP transporter large permease protein DctM","K11690"
"208","KKOIIGHA_00304","CDS",636,"","","","hypothetical protein","K11689"
"209","KKOIIGHA_00305","CDS",1116,"","","COG4663","Monocarboxylate 2-oxoacid-binding periplasmic protein","K11688"
"210","KKOIIGHA_00307","CDS",528,"","","","hypothetical protein","K06867"
"211","KKOIIGHA_00308","CDS",1791,"","","","hypothetical protein","K02011"
"212","KKOIIGHA_00309","CDS",1149,"btuD_1","7.6.2.8","","Vitamin B12 import ATP-binding protein BtuD","K02010"
"213","KKOIIGHA_00310","CDS",1029,"idiA","","COG1840","Iron deficiency-induced protein A","K02012"
"214","KKOIIGHA_00312","CDS",2769,"polA","2.7.7.7","COG0258","DNA polymerase I","K02335"
"215","KKOIIGHA_00314","CDS",951,"thrB","2.7.1.39","COG2334","Homoserine kinase","K02204"
"216","KKOIIGHA_00315","CDS",1902,"speA","4.1.1.19","COG1166","Biosynthetic arginine decarboxylase","K01585"
"217","KKOIIGHA_00317","CDS",945,"ectD_1","1.14.11.55","COG5285","Ectoine dioxygenase","K10674"
"218","KKOIIGHA_00322","CDS",402,"ectC_1","4.2.1.108","COG1917","L-ectoine synthase","K06720"
"219","KKOIIGHA_00323","CDS",1416,"aam","3.5.1.13","","Acylamidase","K02433"
"220","KKOIIGHA_00330","CDS",1098,"mutY","3.2.2.31","COG1194","Adenine DNA glycosylase","K03575"
"221","KKOIIGHA_00331","CDS",2319,"","","","hypothetical protein","K07289"
"222","KKOIIGHA_00333","CDS",594,"hisB","","COG0131","Histidine biosynthesis bifunctional protein HisB","K01693"
"223","KKOIIGHA_00334","CDS",642,"hisH","4.3.2.10","COG0118","Imidazole glycerol phosphate synthase subunit HisH","K02501"
"224","KKOIIGHA_00335","CDS",750,"hisA","5.3.1.16","COG0106","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase","K01814"
"225","KKOIIGHA_00336","CDS",774,"hisF","4.3.2.10","COG0107","Imidazole glycerol phosphate synthase subunit HisF","K02500"
"226","KKOIIGHA_00339","CDS",297,"","","","DNA base-flipping protein","K07443"
"227","KKOIIGHA_00341","CDS",1098,"selU","2.9.1.3","","tRNA 2-selenouridine synthase","K06917"
"228","KKOIIGHA_00342","CDS",1038,"selD","2.7.9.3","COG0709","Selenide, water dikinase","K01008"
"229","KKOIIGHA_00343","CDS",1383,"radA","3.6.4.-","COG1066","DNA repair protein RadA","K04485"
"230","KKOIIGHA_00345","CDS",1098,"nemA","1.3.1.-","COG1902","N-ethylmaleimide reductase","K10680"
"231","KKOIIGHA_00346","CDS",1179,"hmp_1","1.14.12.17","COG1017","Flavohemoprotein","K05916"
"232","KKOIIGHA_00347","CDS",1572,"luxO","","COG3604","Regulatory protein LuxO","K12266"
"233","KKOIIGHA_00349","CDS",564,"ssb","","COG0629","Single-stranded DNA-binding protein","K03111"
"234","KKOIIGHA_00351","CDS",2871,"uvrA","","COG0178","UvrABC system protein A","K03701"
"235","KKOIIGHA_00352","CDS",387,"rplQ","","","Large ribosomal subunit protein bL17","K02879"
"236","KKOIIGHA_00353","CDS",999,"rpoA","2.7.7.6","","DNA-directed RNA polymerase subunit alpha","K03040"
"237","KKOIIGHA_00354","CDS",621,"rpsD","","","Small ribosomal subunit protein uS4","K02986"
"238","KKOIIGHA_00355","CDS",387,"rpsK","","","Small ribosomal subunit protein uS11","K02948"
"239","KKOIIGHA_00356","CDS",357,"rpsM","","","Small ribosomal subunit protein uS13","K02952"
"240","KKOIIGHA_00357","CDS",1332,"secY","","COG0201","Protein translocase subunit SecY","K03076"
"241","KKOIIGHA_00358","CDS",435,"rplO","","COG0200","Large ribosomal subunit protein uL15","K02876"
"242","KKOIIGHA_00359","CDS",183,"rpmD","","COG1841","Large ribosomal subunit protein uL30","K02907"
"243","KKOIIGHA_00360","CDS",501,"rpsE","","","Small ribosomal subunit protein uS5","K02988"
"244","KKOIIGHA_00361","CDS",351,"rplR","","","Large ribosomal subunit protein uL18","K02881"
"245","KKOIIGHA_00362","CDS",531,"rplF","","","Large ribosomal subunit protein uL6","K02933"
"246","KKOIIGHA_00363","CDS",393,"rpsH","","","Small ribosomal subunit protein uS8","K02994"
"247","KKOIIGHA_00364","CDS",306,"rpsN","","COG0199","Small ribosomal subunit protein uS14","K02954"
"248","KKOIIGHA_00365","CDS",540,"rplE","","","Large ribosomal subunit protein uL5","K02931"
